"","HNO204_37_d23_DIFF_B1","HNO204_MX_d23_DIFF_B1","HNO918_37_d23_DIFF_B1","HNO918_MX_d23_DIFF_B1","HNO919_37_d23_DIFF_B1","HNO919_MX_d23_DIFF_B1","HNO204_37_d23_DIFF_B2","HNO204_MX_d23_DIFF_B2","HNO918_37_d23_DIFF_B2","HNO918_MX_d23_DIFF_B2","HNO919_37_d23_DIFF_B2","HNO919_MX_d23_DIFF_B2"
"ENSG00000140854",2008,2301,2642,2056,1635,1887,1706,3319,1755,2186,2027,1826
"ENSG00000140859",570,707,653,588,683,655,549,931,494,475,560,678
"ENSG00000140873",2,7,4,12,0,2,0,1,0,2,0,1
"ENSG00000140876",58,103,78,104,36,82,47,124,53,70,55,45
"ENSG00000140905",58,99,80,150,88,113,49,97,42,68,61,75
"ENSG00000140931",308,306,180,170,250,291,244,444,153,174,234,238
"ENSG00000140932",0,0,0,8,2,0,2,1,0,0,0,2
"ENSG00000140937",167,251,126,161,190,217,126,241,76,82,42,72
"ENSG00000140939",613,835,963,741,547,625,836,1385,860,713,787,950
"ENSG00000140941",1648,2136,2098,2281,1577,1530,1325,2231,1252,1449,1444,1001
"ENSG00000140943",4619,5002,6184,5527,4464,4319,3236,5531,4367,3833,4072,2035
"ENSG00000140945",607,691,673,649,849,987,231,339,405,422,496,335
"ENSG00000140948",1240,1717,1845,1958,1235,1216,797,1359,1207,1205,940,492
"ENSG00000140950",854,1001,1222,1101,845,959,666,911,804,652,850,445
"ENSG00000140955",53,42,73,92,44,47,53,38,89,71,75,29
"ENSG00000140961",215,261,223,285,236,360,248,813,193,461,215,467
"ENSG00000140968",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000140983",2052,2814,3439,3110,2373,2805,2425,4359,2851,2491,2397,3582
"ENSG00000140986",17,8,18,11,20,6,7,24,10,3,44,14
"ENSG00000140987",7,22,26,38,10,26,4,14,6,14,7,4
"ENSG00000140988",24058,26873,37616,37003,18993,29798,35749,82028,34953,53045,43972,73914
"ENSG00000140990",1184,1365,1660,1561,1048,1162,1436,3204,1315,1983,1741,2558
"ENSG00000140992",1917,2317,2971,2767,1921,1936,928,1425,1334,1311,1207,453
"ENSG00000140993",48,51,65,60,39,40,26,39,23,22,15,16
"ENSG00000140995",712,921,1308,1016,853,887,758,1303,857,883,998,772
"ENSG00000141002",2617,3202,3934,3525,2490,2746,2822,4502,2939,2841,3039,2704
"ENSG00000141012",1583,1311,2100,1268,1206,1066,1355,1977,1368,1093,1333,706
"ENSG00000141013",856,906,1320,1091,854,836,687,1032,686,756,665,593
"ENSG00000141026",393,379,572,439,310,394,413,748,433,494,432,339
"ENSG00000141027",2877,3088,3953,3501,2587,2391,1548,1762,2233,1804,1722,694
"ENSG00000141030",901,1189,1133,1121,837,988,626,1473,753,909,853,802
"ENSG00000141034",332,442,455,446,376,279,283,406,273,278,358,144
"ENSG00000141040",203,225,305,332,205,228,113,312,184,251,171,147
"ENSG00000141052",1,0,0,0,1,0,1,1,0,0,0,0
"ENSG00000141068",548,731,975,721,662,561,433,454,629,387,442,193
"ENSG00000141076",659,1065,938,1084,571,804,518,1102,605,776,649,423
"ENSG00000141084",998,1184,1603,1214,1137,1020,832,1004,1111,764,909,455
"ENSG00000141086",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000141096",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000141098",1195,1122,1775,1302,1037,1117,914,1303,892,998,1262,672
"ENSG00000141101",845,971,984,1040,677,812,811,1690,820,1049,913,939
"ENSG00000141127",548,672,1019,862,589,610,662,933,593,664,761,540
