Bac.Via,plate,well,sample,treatment,bacteria,type,line,time,location,viability,date,Analyte Sample,HEKWell,Abs,log_pg.ml,pg.ml,LOD_pg.ml,via,concentration_avg,Bac.Via_label
NB.control,1,4,NBB 48 Baso,No bacteria,NB,sample,HNO204,48,Basal,live,1/17/2023,Unknown4,A4,1.467,1.6053862934167455,40.3075399795218,40.3075399795218,control,22.32091941331229,<b><span style='color:white;'>.</span><span style='color:black;'>Unc</span></b>
NB.control,1,29,NBC 48 Baso,No bacteria,NB,sample,HNO919,48,Basal,live,1/24/2023,Unknown29,B7,1.671,1.7868071914697155,61.2078594178213,61.2078594178213,control,110.72684002135642,<b><span style='color:white;'>.</span><span style='color:black;'>Unc</span></b>
NB.control,1,54,NBB 48 Baso,No bacteria,NB,sample,HNO204,48,Basal,live,2/7/2023,Unknown54,C10,0.407,0.662709078043471,4.599483635742416,4.599483635742416,control,13.047939181121254,<b><span style='color:white;'>.</span><span style='color:black;'>Unc</span></b>
NB.control,2,4,NBC 48 Baso,No bacteria,NB,sample,HNO919,48,Basal,live,2/14/2023,Unknown79,A4,0.372,0.6315829435735988,4.281371794019422,4.281371794019422,control,5.404703424547508,<b><span style='color:white;'>.</span><span style='color:black;'>Unc</span></b>
NB.control,2,29,NBB 48 Baso,No bacteria,NB,sample,HNO204,48,Basal,live,2/28/2023,Unknown104,B7,0.263,0.5346472676531395,3.4248950486272354,3.4248950486272354,control,3.85752146070426,<b><span style='color:white;'>.</span><span style='color:black;'>Unc</span></b>
NB.control,2,54,NBC 48 Baso,No bacteria,NB,sample,HNO919,48,Basal,live,3/6/2023,Unknown129,C10,0.325,0.5897849915711989,3.888525860596463,3.888525860596463,control,3.9781179643124966,<b><span style='color:white;'>.</span><span style='color:black;'>Unc</span></b>
NB.control,1,53,NBB 48 Ap,No bacteria,NB,sample,HNO204,48,Apical,live,2/7/2023,Unknown53,B10,2.642,2.6503350934767433,447.0283778307839,447.0283778307839,control,653.0482227464481,<b><span style='color:white;'>.</span><span style='color:black;'>Unc</span></b>
NB.control,2,3,NBC 48 Ap,No bacteria,NB,sample,HNO919,48,Apical,live,2/14/2023,Unknown78,H3,0.066,0.35945159649414404,2.2879766950604,2.2879766950604,control,45.11702972006897,<b><span style='color:white;'>.</span><span style='color:black;'>Unc</span></b>
NB.control,2,28,NBB 48 Ap,No bacteria,NB,sample,HNO204,48,Apical,live,2/28/2023,Unknown103,A7,1.317,1.4719885742601502,29.647533895773908,29.647533895773908,control,89.71124712079032,<b><span style='color:white;'>.</span><span style='color:black;'>Unc</span></b>
NB.control,1,28,NBC 48 Ap,No bacteria,NB,sample,HNO919,48,Apical,live,1/24/2023,Unknown28,A7,2.332,2.3746464738864463,236.94441361138502,236.94441361138502,control,159.82520101305693,<b><span style='color:white;'>.</span><span style='color:black;'>Unc</span></b>
NB.control,2,53,NBC 48 Ap,No bacteria,NB,sample,HNO919,48,Apical,live,3/6/2023,Unknown128,B10,1.981,2.0624958110600127,115.47708464196779,115.47708464196779,control,161.44619389617367,<b><span style='color:white;'>.</span><span style='color:black;'>Unc</span></b>
Sau.IRR,1,25,SauB 48 Baso IRR,S. aureus Irradiated,Sau,sample,HNO204,48,Basal,IRR,1/17/2023,Unknown25,F6,0.382,0.6404761248507052,4.3699465482013755,4.3699465482013755,IRR,4.3699465482013755,<b><span style='color:white;'>.</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>.</span></b>
Sau.IRR,2,50,SauB 48 Baso IRR,S. aureus Irradiated,Sau,sample,HNO204,48,Basal,IRR,2/28/2023,Unknown125,G9,0.4,0.6564838511494967,4.534024381028559,4.534024381028559,IRR,4.534024381028559,<b><span style='color:white;'>.</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>.</span></b>
Sau.IRR,1,50,SauC 48 Baso IRR,S. aureus Irradiated,Sau,sample,HNO919,48,Basal,IRR,1/24/2023,Unknown50,G9,1.401,1.5466912969878437,35.21204895560072,35.21204895560072,IRR,35.21204895560072,<b><span style='color:white;'>.</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>.</span></b>
Sau.IRR,1,75,SauB 48 Baso IRR,S. aureus Irradiated,Sau,sample,HNO204,48,Basal,IRR,2/7/2023,Unknown75,H12,0.789,1.0024286028289342,10.056077294502222,10.056077294502222,IRR,10.056077294502222,<b><span style='color:white;'>.</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>.</span></b>
Sau.IRR,2,25,SauC 48 Baso IRR,S. aureus Irradiated,Sau,sample,HNO919,48,Basal,IRR,2/14/2023,Unknown100,F6,1.993,2.0731676285925404,118.34982731741705,118.34982731741705,IRR,118.34982731741705,<b><span style='color:white;'>.</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>.</span></b>
Sau.IRR,1,24,SauB 48 Ap IRR,S. aureus Irradiated,Sau,sample,HNO204,48,Apical,IRR,1/17/2023,Unknown24,E6,2.067,2.1389771700431277,137.71370737618577,137.71370737618577,IRR,137.71370737618577,<b><span style='color:white;'>.</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>.</span></b>
