Date,Line,Species,bacteria_label,Temp,Well_Endpoint,FC
02_07_2023,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,1.121372031662269
02_07_2023,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,24,1.1065759637188208
02_07_2023,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.356955380577428
02_14_2023,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,1.0419426048565121
02_14_2023,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,1.1079295154185025
02_14_2023,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,1.0067720090293453
02_14_2023,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,1.4253393665158371
02_14_2023,HNO919,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,1.0273972602739727
02_14_2023,HNO919,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,1.124153498871332
02_14_2023,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,24,1.0217391304347827
02_14_2023,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,0.8728323699421966
02_28_2023,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,0.9750000000000001
02_28_2023,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,0.9670588235294119
02_28_2023,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,0.9733333333333333
02_28_2023,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,1.1798715203426124
02_28_2023,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,48,1.5136986301369864
02_28_2023,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,0.9
02_28_2023,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,1.0730593607305938
02_28_2023,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,24,0.9282178217821783
02_28_2023,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.288409703504043
02_28_2023,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,24,0.9352051835853132
02_28_2023,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,1.4781704781704783
08_09_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,1.6426426378179981
08_09_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,2.824351242199568
08_09_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,24,1.0434126124704137
08_09_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,48,2.2846570886106154
